,sim_rt_mean,sim_rt_std
2RD4CZ7T,407.22,205.9775108294198
CE16DXG2,407.756,210.35078366883982
CM8902RM,443.566,236.32974742668213
RL1GM16T,388.4605,185.53028912779152
EN1P5RFL,497.646,285.6911363635532
WJ2YVYHW,408.999,206.74982404798303
5KTH90ED,509.714,297.5247160864811
J9D04KNJ,328.0415,146.36481854531812
FHNEW93L,512.385,301.3402624142282
YT7M0T6Y,440.609,234.59067012619053
C65H30NV,371.846,180.17787965829513
JP6F56RT,471.852,253.63782677192455
48RC3H1N,380.808,191.69416126145018
PLP1WVXM,540.144072036018,326.85281552503636
43TD8G0E,404.68,203.33709594487095
0EXY6KFW,419.278,218.70242131843278
J1DZJB1L,437.3835,233.45141937961134
1RJ51V8K,421.1455,213.51102502834442
4XT06HUA,447.3785,244.95610828318328
7E8WJTYE,450.506,245.67971675661954
9PA518RY,392.153,190.06622049982357
A70NMJZP,420.4795,223.29035328622092
E4V221E1,323.628,138.54268170252323
4BKN34GB,423.9105,214.6913870782729
JKDWLHZU,489.435,272.4453431562077
5VJHAFVK,484.9345,280.21722833772844
XTRHH68Z,462.474,264.9203610952949
21YVF1WJ,478.3445,270.67120140381525
U73T72AE,465.057,260.43404481144245
Y0YM6R2T,325.287,145.05839720712535
0P2ZCYPM,437.7195,237.95164490376234
PRLTKVRN,438.78,229.67266133713616
MCB04PW4,430.088,221.4832627397315
21VF36AV,340.539,149.02401000100082
0P3ERKVG,484.7275,271.2368834934394
2L3VG13G,506.995,290.07841822403765
CRCB0WAL,414.4995,213.16024170579286
WLDVYXKE,336.897,152.92502876642402
FF1W5WM0,482.688,276.2129802547857
TAX3MN8C,466.4915,255.65993023489983
21KEUZ1N,455.4455,255.30840609126136
9PVR76W7,435.203,230.60346651857859
RKFYBXU9,489.7205,274.7265216731091
7HF5AAL9,531.096048024012,317.4553349198258
69NJR4DR,459.643,250.77399256835693
ZTTGYL51,495.982,280.2163651210272
5D1E6KMW,404.2935,199.98348695649258
0ULZKXXG,475.9544772386193,280.0375965548172
AW1XZUW5,397.014,193.0964679297979
9U33DV8X,396.384,195.6280289397545
9HB34LLU,444.6125,243.64019293941996
R3JXE4GH,533.7665,309.257040237111
Y9FMUL8B,488.632,270.0732499826261
3MFBHV8Y,436.6335,235.3974557186832
U43XT2KJ,448.1675,238.69108311859947
5EFUXC2G,392.8245,197.38926505950207
4P3K4E3R,470.056,267.2106858628967
NBCLFXHV,456.559,249.54708852979402
7239K1HB,421.1885,222.6766746169415
WY2D5R9A,380.07,189.4295116129875
6XNN68K1,429.063,229.79466883701406
DT85NUFE,355.735,171.760856049437
66TNJAWV,465.782,261.40545304457737
YJDWCMJA,441.345,239.0631246423879
T472A3DT,446.3465,245.504412681469
TPXZDTAT,506.68,289.83327494204633
GVAR0AFB,426.767,223.04789596171148
G08VWT16,365.6165,170.69915503163529
FZ4F6Y38,565.839419709855,345.7837968456944
YGMBFN9H,407.649,205.91963540935956
XBHMF9C2,348.8215,159.82018296570556
3BJF2R7E,396.2495,202.34520018960146
ZUDPGDWJ,425.349,221.56304134409427
5V6LPP6X,378.857,182.00673827468228
GYR34XNB,435.5145,235.21916124469607
YE99F6V6,382.612,187.91469453507648
N7MH5976,447.3955,243.26468698460295
5XV8TY4W,475.321,265.9235164804133
R8F6YH4J,447.0685,237.76950177795695
HK3PFELX,496.486,285.3633524569382
NGT8NC5C,502.6295,276.59169494510553
KHXDKCB7,312.837,135.95181822778142
FN0UUKK3,422.3875,215.06858113412457
H8KHAFL7,467.4215,257.64038915281003
ZLP46GRP,305.2625,128.37670693389668
2ACJBYFC,443.4525,236.54686417965175
NK12ULUJ,380.5235,186.0270853558508
6UZL0D8M,508.2675,290.5455029567558
3XW4NJJV,397.8225,202.2911412955924
WDG85F4T,480.68,272.9527453619038
H2N0P8GY,431.6635,225.98064274002894
F4Z1R5WK,446.928,231.90372891728774
NZN6,385.67,200.16970064054965
XK6KTKFE,414.195,214.89704592006981
28B537H0,416.819,214.9709992167598
HV5ACGVN,394.095,192.0179585955741
4NNE3HU8,409.5005,208.4605139893317
P8CFEA4E,444.5615,235.76107791720062
X4GVLBGY,403.5775,209.47143035224855
7LBEJR41,421.937,212.42863035028083
XBPBAPVX,473.369,259.50740429791733
P5DWFRD0,431.6875,229.41472795453046
0CFR33F0,410.1125,204.9127386449644
E7949ZLU,405.9985,196.37382931075385
52ZXUXVJ,435.427,223.28662326495183
6G5G,460.234,262.5320261918309
DV2D7CXJ,420.905,215.55495806167968
UBLUW5AM,429.9625,225.02395424430233
KKXA5H12,451.2395,239.6980031333241
WJ086JLF,415.6335,225.45847719750995
7H18U74U,433.147,232.76437875888465
TU4MAPYT,418.839,219.95619664656326
9L5C6ATX,453.6185,245.66757669026745
0A4ZDYNL,468.5455,256.1301881199934
M6DMWBV5,357.0725,171.28240737240833
WECA1JN4,456.9865,246.30326625368497
0YWBYAGP,492.9685,286.97919268871766
Z0M0689M,438.7315,240.33498467801164
