,gen-vanilla_SSRT-vanilla,gen-vanilla_SSRT-w_guesses,gen-vanilla_SSRT-w_graded,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded
CV0BAW89,287.74999999999994,263.90320204743097,414.03333333333336,307.01666666666665,287.4464889372937,439.29999999999995,216.01666666666665,176.7710683114617,300.3
CV5P454F,339.16666666666663,159.84553232290656,1318.1666666666665,455.49999999999994,293.9573929907534,1713.4166666666667,222.0,24.672716317641434,448.3333333333333
CV5U8ZJ8,288.2666666666666,260.80207975090883,435.74999999999994,309.1166666666667,286.9666828792948,456.75,216.71666666666667,176.26931994296118,304.43333333333334
CVAAN2Y5,309.26666666666665,205.27964887232207,764.4166666666664,375.69999999999993,292.39499405282857,879.2999999999998,218.96666666666667,85.74992660542117,367.75
CVNFXR7V,291.73333333333335,244.77125086268842,459.9500000000001,323.23333333333335,288.41150289812396,476.2833333333333,222.58333333333337,152.5698758007155,313.86666666666673
CVWPX3EA,298.41666666666663,234.0069669698678,556.9666666666666,341.65,291.21850514009697,619.7499999999999,216.70000000000002,123.21348271227744,330.4166666666667
CVZ70012,278.76666666666665,269.88342564242856,348.7833333333333,286.9166666666666,279.679822270627,357.91666666666663,240.98333333333332,228.2775358643529,286.05
CW834UMA,279.23333333333335,267.30401221550306,350.70000000000005,289.96666666666664,280.4131556039604,363.4166666666667,243.49999999999994,225.04860708185555,287.7
CW8WDA3J,306.45,215.3201005569749,700.0666666666667,365.45,291.8555876994881,806.3333333333333,218.35,98.98354720360267,355.09999999999997
CWB97KGL,285.0333333333333,266.33368518775177,400.88333333333327,299.84999999999997,284.5535272753344,413.98333333333335,219.81666666666663,191.75347945369984,296.61666666666673
CWC14R4P,282.3333333333334,266.64436566637625,392.9166666666667,294.70000000000005,281.8263112079208,407.33333333333326,228.78333333333333,207.55934801422913,293.8500000000001
CWC53CBP,309.43333333333334,202.4025188650936,735.9,377.2333333333333,293.790598014069,828.55,218.23333333333332,76.06973270322857,366.3999999999999
CWKWUAL1,305.8666666666666,206.7630697124747,624.1999999999998,367.3166666666666,294.2722218538366,660.3666666666666,217.76666666666665,78.0936355809357,351.38333333333327
CWN8ARJK,289.93333333333334,257.11658942156413,427.5666666666667,314.41666666666663,288.670193942001,455.8666666666666,216.21666666666664,161.808835541213,304.85
CWPG,279.2166666666666,270.8983231516617,357.09999999999997,287.2166666666666,280.1631556039603,366.2333333333333,235.68333333333325,223.02889530746856,287.31666666666666
CWRMZH2U,287.7666666666666,260.3472182240987,418.3333333333333,308.2833333333333,286.67723228004166,434.68333333333334,218.64999999999998,175.72584176357532,302.23333333333335
